#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detecion call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
200924_s_at 429.3   A   0.246094
218813_s_at 165.9   A   0.334473
201271_s_at 543.4   P   0.046143
208695_s_at 20027.6 P   0.000244
213151_s_at 1645.4  P   0.000244
201387_s_at 400.5   A   0.366211
209186_at   888.8   P   0.030273
203973_s_at 2504.1  P   0.00293
200921_s_at 3564.6  P   0.000244
205157_s_at 64.8    A   0.533936
204179_at   540.5   A   0.171387
208756_at   1255.3  A   0.129639
217729_s_at 132.3   A   0.633789
201339_s_at 362.1   A   0.067627
200877_at   716.2   P   0.037598
200682_s_at 1506.9  P   0.00293
215399_s_at 963 P   0.001221
201272_at   1264    P   0.037598
208675_s_at 1237.3  P   0.030273
201531_at   2156.9  A   0.111572
200896_x_at 2809.4  P   0.00415
200603_at   3397.9  P   0.000244
208616_s_at 3555.7  P   0.001953
212037_at   363 P   0.010742
200608_s_at 487.6   P   0.000244
200944_s_at 1333.8  P   0.000244
210950_s_at 1554.9  P   0.001221
200660_at   3568.7  P   0.008057
200668_s_at 4253.4  P   0.000244
200959_at   523.6   A   0.19458
201105_at   826.8   P   0.01416
200797_s_at 7276.5  P   0.000244
200691_s_at 478.9   P   0.023926
212600_s_at 856.6   P   0.000732
39729_at    894 P   0.001602
217773_s_at 871.4   A   0.080566
218013_x_at 296.9   A   0.149658
201669_s_at 1254.2  P   0.005859
200735_x_at 4169.3  P   0.000244
201496_x_at 124.9   A   0.780518
200696_s_at 1556.5  P   0.037598
210297_s_at 27.7    A   0.432373
208794_s_at 90.2    A   0.533936
211954_s_at 286.9   P   0.046143
200958_s_at 12154   P   0.000244
200708_at   292.8   A   0.398926
200830_at   746 P   0.008057
208658_at   655.4   P   0.037598
200620_at   1395.2  P   0.010742
208712_at   129.2   A   0.665527
222021_x_at 1326.4  P   0.001953
217728_at   6420.8  P   0.005859
200974_at   595.6   A   0.129639
200926_at   15426.7 P   0.000732
212203_x_at 17020.9 P   0.046143
200720_s_at 389.4   A   0.432373
200902_at   652.1   P   0.000244
208310_s_at 225.4   A   0.067627
200768_s_at 502.7   P   0.008057
209701_at   889.9   P   0.023926
204450_x_at 35.3    A   0.633789
208682_s_at 64.9    A   0.533936
200793_s_at 70.2    A   0.80542
200901_s_at 985.2   A   0.129639
210715_s_at 262.5   A   0.466064
200626_s_at 351.8   P   0.023926
200728_at   3601.5  P   0.000244
200629_at   806.7   P   0.000244
200932_s_at 360.7   A   0.366211
41220_at    6436.4  P   0.031336
201275_at   731.9   A   0.219482
208811_s_at 279.6   A   0.171387
216032_s_at 715.3   P   0.018555
201041_s_at 4409.5  P   0.001953
200854_at   468.4   P   0.000732
210816_s_at 579.8   P   0.023926
