#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
210095_s_at 734.7   P   0.010742
207323_s_at 634.1   P   0.037598
200745_s_at 930.4   P   0.01416
200757_s_at 73.1    A   0.601074
200824_at   1153.7  P   0.008057
200781_s_at 10962.9 P   0.000244
215111_s_at 311.7   A   0.095215
205547_s_at 305.5   A   0.303711
201586_s_at 239.7   A   0.171387
220189_s_at 80.6    A   0.466064
200627_at   1172.4  P   0.000244
201250_s_at 911.3   A   0.080566
200847_s_at 2622.9  P   0.000244
200662_s_at 506.4   P   0.023926
201744_s_at 4.7 A   0.932373
201209_at   325.5   P   0.01416
208631_s_at 234.9   A   0.19458
208700_s_at 1680    P   0.005859
200862_at   611.3   A   0.080566
209248_at   490.4   P   0.000732
212595_s_at 1652.7  P   0.000244
217720_at   2258.8  P   0.030273
204031_s_at 9831.1  P   0.000244
201012_at   1719    P   0.000244
208706_s_at 604 P   0.001953
200663_at   1742.7  P   0.018555
200614_at   2018.8  P   0.023926
200709_at   2626.5  P   0.00415
200670_at   571 P   0.001221
208783_s_at 1292.4  P   0.000244
213762_x_at 545.5   A   0.303711
200837_at   702.6   A   0.27417
210891_s_at 2014.9  P   0.000732
213282_at   486.4   A   0.149658
208649_s_at 502.2   A   0.334473
209067_s_at 855.8   P   0.046143
217982_s_at 2024.4  P   0.000244
200968_s_at 302.8   A   0.27417
214911_s_at 548.5   A   0.219482
201784_s_at 320.4   P   0.030273
211937_at   979.9   P   0.046143
200610_s_at 1104.9  P   0.005859
211375_s_at 245.5   A   0.466064
200976_s_at 1816.6  P   0.008057
201094_at   25535.8 P   0.000732
201417_at   34.2    A   0.72583
208654_s_at 398.6   P   0.037598
214132_at   65.5    A   0.303711
201368_at   2689.9  P   0.001953
200601_at   918.8   A   0.129639
201042_at   575 A   0.334473
213671_s_at 549.9   A   0.171387
208689_s_at 1220.6  P   0.005859
220954_s_at 81.5    A   0.696289
200986_at   379.9   A   0.171387
201288_at   11159.2 P   0.001953
211575_s_at 349.8   A   0.067627
200657_at   1002.2  A   0.095215
200699_at   413 A   0.095215
214882_s_at 451.1   P   0.001221
202182_at   640 A   0.080566
208691_at   353.2   A   0.149658
201360_at   886 P   0.010742
200899_s_at 1880.9  P   0.000732
200695_at   2087.1  A   0.334473
213923_at   807.4   P   0.01416
200929_at   173.5   A   0.334473
200642_at   1335.7  A   0.067627
200924_s_at 398.6   A   0.246094
218813_s_at 414.1   A   0.129639
201271_s_at 343.7   A   0.067627
208695_s_at 25888.9 P   0.000244
213151_s_at 1782.4  P   0.000244
201387_s_at 589.9   A   0.334473
209186_at   764.2   A   0.067627
